Date,Volume,Close,High,Low,Open
2016-07-25,40290580,97.34,98.84,96.92,98.25
2016-07-26,53454620,96.67,97.97,96.42,96.82
2016-07-27,92143920,102.95,104.35,102.75,104.265
2016-07-28,38771840,104.34,104.45,102.82,102.83
2016-07-29,27697970,104.21,104.55,103.68,104.19
2016-08-01,38018910,106.05,106.15,104.41,104.41
2016-08-02,33770220,104.48,106.07,104.0,106.05
2016-08-03,30148360,105.79,105.84,104.77,104.81
2016-08-04,26781730,105.87,106.0,105.28,105.58
2016-08-05,39546610,107.48,107.65,106.18,106.27
2016-08-08,28010430,108.37,108.37,107.16,107.52
2016-08-09,26296260,108.81,108.94,108.01,108.23
2016-08-10,23839880,108.0,108.9,107.76,108.71
2016-08-11,27460070,107.93,108.93,107.85,108.52
2016-08-12,18648700,108.18,108.44,107.78,107.78
2016-08-15,25704330,109.48,109.54,108.08,108.14
2016-08-16,33754680,109.38,110.23,109.21,109.63
2016-08-17,25328680,109.22,109.37,108.34,109.1
2016-08-18,21918340,109.08,109.6,109.02,109.23
2016-08-19,25108890,109.36,109.69,108.36,108.77
2016-08-22,25784420,108.51,109.1,107.85,108.86
2016-08-23,21236850,108.85,109.32,108.53,108.59
2016-08-24,23606240,108.03,108.75,107.68,108.565
2016-08-25,25001730,107.57,107.88,106.68,107.39
2016-08-26,27744300,106.94,107.95,106.31,107.41
2016-08-29,24900130,106.82,107.44,106.29,106.62
2016-08-30,24817940,106.0,106.5,105.5,105.8
2016-08-31,31639010,106.1,106.5699,105.64,105.66
2016-09-01,26675250,106.73,106.8,105.62,106.14
2016-09-02,26393770,107.73,108.0,106.82,107.7
2016-09-06,26645130,107.7,108.3,107.51,107.9
2016-09-07,42250480,108.36,108.76,107.07,107.83
2016-09-08,52955310,105.52,107.27,105.24,107.25
2016-09-09,46461610,103.13,105.72,103.13,104.64
2016-09-12,45114590,105.44,105.72,102.53,102.65
2016-09-13,62080160,107.95,108.79,107.24,107.51
2016-09-14,111186900,111.77,113.03,108.6,108.73
2016-09-15,90398170,115.57,115.73,113.49,113.86
2016-09-16,79763890,114.92,116.13,114.04,115.12
2016-09-19,46937190,113.58,116.18,113.25,115.19
2016-09-20,34494150,113.57,114.12,112.51,113.05
2016-09-21,35951900,113.55,113.989,112.441,113.85
2016-09-22,31048170,114.62,114.94,114.0,114.35
2016-09-23,52411070,112.71,114.79,111.55,114.42
2016-09-26,29800240,112.88,113.39,111.55,111.64
2016-09-27,24587490,113.09,113.18,112.34,113.0
2016-09-28,29608390,113.95,114.64,113.43,113.69
2016-09-29,35850010,112.18,113.8,111.8,113.16
2016-09-30,36340670,113.05,113.37,111.8,112.46
2016-10-03,21634520,112.52,113.05,112.28,112.71
2016-10-04,29707270,113.0,114.31,112.63,113.06
2016-10-05,21400410,113.05,113.66,112.69,113.4
2016-10-06,28508710,113.89,114.34,113.13,113.7
2016-10-07,24336440,114.06,114.56,113.51,114.31
2016-10-10,36087910,116.05,116.75,114.72,115.02
2016-10-11,63963010,116.3,118.69,116.2,117.7
2016-10-12,37512930,117.34,117.98,116.75,117.35
2016-10-13,35041820,116.98,117.44,115.72,116.79
2016-10-14,35626020,117.63,118.17,117.13,117.88
2016-10-17,23583810,117.55,117.84,116.78,117.33
2016-10-18,24308210,117.47,118.21,117.45,118.18
2016-10-19,19977160,117.12,117.76,113.8,117.25
2016-10-20,24100150,117.06,117.38,116.33,116.86
2016-10-21,22527690,116.6,116.91,116.28,116.81
2016-10-24,23492650,117.65,117.74,117.0,117.1
2016-10-25,46820600,118.25,118.36,117.31,117.95
2016-10-26,66028640,115.59,115.7,113.31,114.31
2016-10-27,31396130,114.48,115.86,114.1,115.39
2016-10-28,36792100,113.72,115.21,113.45,113.87
2016-10-31,26378910,113.54,114.23,113.2,113.65
2016-11-01,43403760,111.49,113.77,110.53,113.46
2016-11-02,28174980,111.59,112.35,111.23,111.4
2016-11-03,26538700,109.83,111.46,109.55,110.98
2016-11-04,30790930,108.84,110.25,108.11,108.53
2016-11-07,32361930,110.41,110.51,109.46,110.08
2016-11-08,24129630,111.06,111.72,109.7,110.31
2016-11-09,59118740,110.88,111.32,108.05,109.88
