Ticker,Status
CIC.L,good
MXR.V,no_data
ENT.MI,insufficient_history
RIC,insufficient_history
BAS,no_data
ESNC,good
VX1.MU,good
CVCY,no_data
AXFO.ST,good
TKA.HA,good
PNE3.DE,good
1172.HK,good
THR.BR,no_data
SOW.BE,no_data
MPAD,good
SVT,good
CGS.L,good
GTQ1.DE,no_data
TAHO,no_data
MCR.V,no_data
0533.HK,good
F3A.BE,good
ABJ.SG,no_data
UL,good
ASL.AX,insufficient_history
RNY.BE,no_data
DNK.AX,good
INCY,good
ORIG,insufficient_history
DGI,no_data
AZZ.TO,no_data
CNMD,good
MAWANASUG.NS,good
GOKUL.NS,good
GLOG,no_data
GITANJALI.NS,good
SLF,good
SWJ.F,no_data
AQG.AX,no_data
BOE.L,no_data
ISD.AX,no_data
EBRO.MC,good
1991.HK,good
BKOR,insufficient_history
ENB.TO,good
GSC1.MU,good
MONTECARLO.NS,insufficient_history
CYBERTECH.NS,good
RIOA.DE,insufficient_history
BHP.F,good
CTLT,insufficient_history
INDBANK.NS,good
UBL.BE,no_data
DEZ.MU,good
FLIR,no_data
CLRI,good
OPPP.L,no_data
CMD.V,good
AGQ.L,no_data
NXM.AX,good
MHK,good
EV4.DU,no_data
KSB.F,good
PAYC,insufficient_history
ADANITRANS.NS,no_data
CSC.V,no_data
2311.TW,no_data
QSC.DE,no_data
AGRO.L,insufficient_history
OEX.AX,no_data
COUNCODOS.NS,good
E8X.SG,good
CXO.V,no_data
1725.TW,good
SUS.L,good
NATHBIOGEN.NS,insufficient_history
CCC3.BE,good
SHIVAMAUTO.NS,good
ELB.F,insufficient_history
UKR.L,good
MAN.PA,no_data
JFEN3.SA,good
RRL.V,no_data
CASI,good
SMN.AX,good
AXA.MI,no_data
VIKASECO.NS,insufficient_history
QSC.BE,no_data
WALMEX.MX,good
CYRN,no_data
EUROMULTI.NS,good
PZS.SG,good
MIRZAINT.NS,good
FMEA.MU,good
BAFARB.MX,good
FB.MX,no_data
2383.HK,good
SWA.DU,good
AVRN,no_data
CHH,good
GLYC,insufficient_history
SAIA,good
CSGS,good
CDP.AX,good
MDN.MU,good
MDO.F,good
RDS-B,no_data
AMAR3.SA,good
BRC.AX,no_data
TRICOM.NS,good
BIS.AX,good
WHR.MX,insufficient_history
CDR.MI,no_data
3605.TW,good
MNZS.L,no_data
ITRI,good
AGEN,good
DIC.MU,no_data
GBLB.BR,good
BMY,good
CVT.NZ,good
BAT.V,insufficient_history
MCHX,good
RNR,good
QTM.AX,no_data
