gvkey,datadate,cshtrd,prccd,prchd,prcld,prcod
001690,2001-07-27,5967700.00000000,18.96000000,19.25000000,18.50000000,
001690,2001-07-30,4345700.00000000,18.93000000,19.36000000,18.51000000,
001690,2001-07-31,4196300.00000000,18.79000000,19.42000000,18.51000000,
001690,2001-08-01,5431000.00000000,19.06000000,19.78000000,18.95000000,
001690,2001-08-02,4501600.00000000,19.82000000,19.87000000,19.26000000,
001690,2001-08-03,3322400.00000000,19.50000000,19.90000000,19.00000000,
001690,2001-08-06,1779500.00000000,19.13000000,19.66000000,19.00100000,
001690,2001-08-07,3009600.00000000,19.25000000,19.67000000,18.98000000,
001690,2001-08-08,4931600.00000000,18.90000000,19.70000000,18.54000000,
001690,2001-08-09,3583300.00000000,19.05000000,19.15000000,18.72000000,
001690,2001-08-10,3338400.00000000,19.02000000,19.32000000,18.59000000,
001690,2001-08-13,2642800.00000000,19.09000000,19.33000000,18.76000000,
001690,2001-08-14,4088400.00000000,18.73000000,19.36000000,18.67000000,
001690,2001-08-15,5165700.00000000,18.44000000,18.94000000,18.20000000,
001690,2001-08-16,5144500.00000000,18.65000000,18.75000000,17.97000000,
001690,2001-08-17,3721900.00000000,18.07000000,18.45000000,17.99000000,
001690,2001-08-20,4505400.00000000,18.12000000,18.23000000,17.81000000,
001690,2001-08-21,3316200.00000000,17.92000000,18.14000000,17.70000000,
001690,2001-08-22,3107800.00000000,18.21000000,18.25000000,17.61000000,
001690,2001-08-23,3875300.00000000,17.81000000,18.34000000,17.58000000,
001690,2001-08-24,5184600.00000000,18.57000000,18.62000000,17.65000000,
001690,2001-08-27,3136500.00000000,18.92000000,19.30000000,18.16000000,
001690,2001-08-28,3066700.00000000,18.40000000,19.14000000,18.40000000,
001690,2001-08-29,4285200.00000000,17.83000000,18.83000000,17.83000000,
001690,2001-08-30,6583800.00000000,17.83000000,18.18000000,17.28000000,
001690,2001-08-31,3873000.00000000,18.55000000,18.60000000,17.65000000,
001690,2001-09-04,6218100.00000000,18.25000000,19.08000000,18.18000000,
001690,2001-09-05,6431100.00000000,18.55000000,18.95000000,18.12000000,
001690,2001-09-06,5042300.00000000,17.72000000,18.93000000,17.65000000,
001690,2001-09-07,4317300.00000000,17.28000000,18.10000000,17.20000000,
001690,2001-09-10,5515100.00000000,17.37000000,17.50000000,16.92000000,
001690,2001-09-17,8188800.00000000,16.99000000,17.07000000,15.73000000,
001690,2001-09-18,5841000.00000000,16.28000000,17.72100000,16.17000000,
001690,2001-09-19,6666800.00000000,17.02000000,17.10000000,15.60000000,
001690,2001-09-20,7342700.00000000,15.68000000,16.95000000,15.50000000,
001690,2001-09-21,10187800.00000000,15.73000000,16.25000000,14.68000000,
001690,2001-09-24,5259600.00000000,16.45000000,16.84400000,15.95000000,
001690,2001-09-25,6686100.00000000,15.54000000,16.22000000,15.35000000,
001690,2001-09-26,8817800.00000000,15.15000000,15.89000000,14.93000000,
001690,2001-09-27,5754100.00000000,15.51000000,15.75000000,15.20000000,
001690,2001-09-28,6519800.00000000,15.51000000,15.91000000,15.39000000,
001690,2001-10-01,3703200.00000000,15.54000000,15.99000000,15.23000000,
001690,2001-10-02,4212200.00000000,15.05000000,15.83000000,14.88000000,
001690,2001-10-03,12197100.00000000,14.98000000,15.36000000,14.83000000,
001690,2001-10-04,7162900.00000000,15.88000000,16.25000000,14.99900000,
001690,2001-10-05,6120200.00000000,16.14000000,16.15000000,14.99000000,
001690,2001-10-08,3714100.00000000,16.20000000,16.35000000,15.50000000,
001690,2001-10-09,3107600.00000000,16.00000000,16.20000000,15.63000000,
001690,2001-10-10,5497100.00000000,16.82000000,16.85000000,15.95000000,
001690,2001-10-11,5940500.00000000,17.74000000,17.74000000,16.85000000,
